Reference bit,dirty bit,age,access count,Row ID,Timestamp,PID,Process Name,Page/Frame ID,Offset/size,Operation Type(R/W),CPU/Core ID,Status/flag,Hash/UUID of page
0,0,0,1,8937,9E+13,0,swapper,283469704,8,R,6,0,5edbfdb7a767970320b496cff9186b34
0,0,0,1,8938,9E+13,0,swapper,283469712,8,R,6,0,5c60b58d166d11704ea984b89153791a
0,0,0,1,8939,9E+13,0,swapper,283469720,8,R,6,0,ee1f5ede144771553654996c915d5f5b
0,1,0,1,8940,9E+13,2718,kjournald,437133568,8,W,6,0,6bbb834b1d42242a8da7129d6157cfab
0,1,0,1,8941,9E+13,2718,kjournald,437133576,8,W,6,0,6af366866a2011e93ab19bca7478d936
0,1,0,1,8942,9E+13,2718,kjournald,437133584,8,W,6,0,a1a2fda7d1f702afaea645b53160c3ef
0,0,0,1,8943,9E+13,2718,kjournald,283469728,8,R,6,0,35451225a249feec3cb7ce6ba1437f47
0,0,0,1,8944,9E+13,2718,kjournald,283469736,8,R,6,0,a588d6c61b4fb5de436a9b3cf54943e6
0,0,0,1,8945,9E+13,2718,kjournald,283469744,8,R,6,0,5a581a29bb0a6cd34c73493e71fb448a
0,0,0,1,8946,9E+13,2718,kjournald,283469752,8,R,6,0,f6bbd40dbe89ddfe6b54721ede24b0f5
0,0,0,1,8947,9E+13,2718,kjournald,283469760,8,R,6,0,9660da1834a68fc8026682e874fda06a
0,0,0,1,8948,9E+13,2718,kjournald,283469768,8,R,6,0,8ea43fcd96714a11c4bf99e4167085c7
0,0,0,1,8949,9E+13,2718,kjournald,283469776,8,R,6,0,2858de01ebcac28bb65a9ad6afb77b21
0,0,0,1,8950,9E+13,2718,kjournald,283469784,8,R,6,0,5ba218e81cbe1210132f4096c60fbc71
0,0,0,1,8951,9E+13,2718,kjournald,283469792,8,R,6,0,f1793e99703ac1f3c133ed61976837af
0,0,0,1,8952,9E+13,2718,kjournald,283469800,8,R,6,0,b9b29177e59b248823306c091a048980
0,1,0,1,8953,9E+13,2718,kjournald,437133592,8,W,6,0,9aa9f37d77105354afd808e47b405142
